fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Acc,career_TD_Def,career_Sub_Avg
Anthony Birchak,172.72,135.0,175.26,Orthodox,1986-05-16,16,67%,8,33%,0,0%,0.0,0%,3.93,36%,3.67,56%,0.48,14%,61%
Chris Birchler,190.5,205.0,NA,Switch,1987-06-05,7,64%,4,36%,0,0%,0.0,0%,9.35,46%,14.83,35%,0.0,NA,0%
Angad Bisht,170.18,125.0,170.18,Orthodox,1995-06-05,10,77%,3,23%,0,0%,0.0,0%,3.91,51%,4.56,33%,2.41,37%,100%
Michael Bisping,185.42,185.0,190.5,Orthodox,1979-02-28,30,77%,9,23%,0,0%,0.0,0%,4.33,38%,2.71,65%,1.05,43%,63%
Amaury Bitetti,175.26,185.0,NA,Orthodox,NA,5,71%,2,29%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Caio Bittencourt,182.88,185.0,190.5,Orthodox,1991-05-22,14,67%,7,33%,0,0%,0.0,0%,0.29,16%,0.57,33%,0.0,NA,0%
Davi Bittencourt,165.1,135.0,165.1,Orthodox,1994-10-12,14,78%,4,22%,0,0%,0.0,0%,4.15,66%,1.51,46%,14.15,33%,0%
Simon Biyong,NA,205.0,NA,NA,1991-04-05,7,88%,1,12%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Jan Blachowicz,187.96,205.0,198.12,Orthodox,1983-02-24,29,72%,10,25%,1,2%,0.0,0%,3.41,NA,2.91,53%,1.09,NA,68%
Jason Black,172.72,155.0,NA,Orthodox,1972-07-15,23,82%,4,14%,1,4%,0.0,0%,1.06,47%,2.6,45%,0.48,33%,28%
Brad Blackburn,177.8,170.0,185.42,Orthodox,1977-05-25,18,55%,13,39%,1,3%,1.0,3%,4.55,35%,3.59,65%,0.93,NA,76%
Jason Blackford,NA,NA,NA,NA,NA,3,50%,3,50%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
